timestamp,temperature_c,humidity_air_pct,soil_moisture_pct
2025-01-01 00:00:00,24.4,73.79,74.64
2025-01-01 00:30:00,23.11,77.74,74.48
2025-01-01 01:00:00,25.78,74.48,90.0
2025-01-01 01:30:00,25.18,74.27,89.83
2025-01-01 02:00:00,27.19,62.87,89.56
2025-01-01 02:30:00,26.19,71.56,89.34
2025-01-01 03:00:00,29.42,63.49,89.16
2025-01-01 03:30:00,27.81,67.72,88.82
2025-01-01 04:00:00,28.72,64.69,88.45
2025-01-01 04:30:00,29.19,61.46,88.34
2025-01-01 05:00:00,30.45,58.43,88.12
2025-01-01 05:30:00,28.73,66.12,87.63
2025-01-01 06:00:00,30.59,62.33,87.49
2025-01-01 06:30:00,29.91,62.28,87.23
2025-01-01 07:00:00,29.43,67.32,87.02
2025-01-01 07:30:00,30.05,61.74,86.89
2025-01-01 08:00:00,28.65,67.53,86.79
2025-01-01 08:30:00,30.02,65.75,86.38
2025-01-01 09:00:00,27.57,66.93,85.93
2025-01-01 09:30:00,27.86,66.72,85.71
2025-01-01 10:00:00,27.65,71.77,85.26
2025-01-01 10:30:00,27.29,66.49,84.86
2025-01-01 11:00:00,25.52,76.65,84.55
2025-01-01 11:30:00,25.62,70.86,84.32
2025-01-01 12:00:00,23.82,76.42,84.06
2025-01-01 12:30:00,23.35,74.79,83.59
2025-01-01 13:00:00,23.18,77.63,83.17
2025-01-01 13:30:00,22.52,80.86,82.75
2025-01-01 14:00:00,20.44,81.14,82.56
2025-01-01 14:30:00,21.24,81.31,82.46
2025-01-01 15:00:00,18.63,84.49,82.31
2025-01-01 15:30:00,19.63,84.96,82.0
2025-01-01 16:00:00,19.01,84.76,81.52
2025-01-01 16:30:00,17.27,88.38,81.31
2025-01-01 17:00:00,18.25,93.88,81.19
2025-01-01 17:30:00,18.05,87.8,81.03
2025-01-01 18:00:00,18.91,87.43,80.83
2025-01-01 18:30:00,19.12,80.55,80.48
2025-01-01 19:00:00,17.41,86.48,80.36
2025-01-01 19:30:00,16.96,89.28,80.0
2025-01-01 20:00:00,18.07,91.51,79.53
2025-01-01 20:30:00,18.18,85.68,79.06
2025-01-01 21:00:00,20.41,78.49,78.63
2025-01-01 21:30:00,18.47,86.61,78.49
2025-01-01 22:00:00,21.21,82.93,78.25
2025-01-01 22:30:00,21.42,81.06,77.8
2025-01-01 23:00:00,21.9,79.89,77.64
2025-01-01 23:30:00,22.68,75.49,77.54
2025-01-02 00:00:00,25.49,73.44,77.18
2025-01-02 00:30:00,23.22,78.92,76.95
2025-01-02 01:00:00,26.32,71.59,76.59
2025-01-02 01:30:00,25.36,70.03,76.38
2025-01-02 02:00:00,26.94,70.15,75.92
2025-01-02 02:30:00,27.01,73.34,75.59
2025-01-02 03:00:00,28.74,62.94,90.0
2025-01-02 03:30:00,28.14,68.93,89.51
2025-01-02 04:00:00,28.83,67.66,89.26
2025-01-02 04:30:00,28.46,64.55,88.94
2025-01-02 05:00:00,30.3,67.69,88.8
2025-01-02 05:30:00,30.64,61.87,88.4
2025-01-02 06:00:00,29.23,68.68,88.18
2025-01-02 06:30:00,30.24,63.28,87.71
2025-01-02 07:00:00,30.95,61.13,87.35
2025-01-02 07:30:00,29.98,63.57,87.11
2025-01-02 08:00:00,29.33,61.78,87.0
2025-01-02 08:30:00,27.77,68.54,86.66
2025-01-02 09:00:00,27.53,66.94,86.35
2025-01-02 09:30:00,28.68,61.82,86.22
2025-01-02 10:00:00,28.91,70.71,85.87
